forecast__forecastday__hour__time	T2	Pressure	Humidity
7/23/2018 0:00	20.2	1013	76
7/23/2018 1:00	20.1	1014	77
7/23/2018 2:00	20	1014	79
7/23/2018 3:00	19.9	1015	80
7/23/2018 4:00	19.8	1015	80
7/23/2018 5:00	19.6	1015	81
7/23/2018 6:00	19.5	1014	81
7/23/2018 7:00	20.1	1014	81
7/23/2018 8:00	20.6	1014	80
7/23/2018 9:00	21.2	1013	80
7/23/2018 10:00	22.1	1014	80
7/23/2018 11:00	23	1014	80
7/23/2018 12:00	23.9	1014	80
7/23/2018 13:00	24.3	1014	79
7/23/2018 14:00	24.8	1014	78
7/23/2018 15:00	25.2	1014	77
7/23/2018 16:00	25.1	1014	77
7/23/2018 17:00	25	1013	77
7/23/2018 18:00	24.9	1013	78
7/23/2018 19:00	24.6	1014	78
7/23/2018 20:00	24.2	1014	79
7/23/2018 21:00	23.9	1014	79
7/23/2018 22:00	23.6	1014	80
7/23/2018 23:00	23.2	1014	80
