location__name	location__region	location__country	location__lat	location__lon	location__tz_id	location__localtime_epoch	location__localtime	forecast__forecastday__date	forecast__forecastday__date_epoch	forecast__forecastday__day__maxtemp_c	forecast__forecastday__day__maxtemp_f	forecast__forecastday__day__mintemp_c	forecast__forecastday__day__mintemp_f	forecast__forecastday__day__avgtemp_c	forecast__forecastday__day__avgtemp_f	forecast__forecastday__day__maxwind_mph	forecast__forecastday__day__maxwind_kph	forecast__forecastday__day__totalprecip_mm	forecast__forecastday__day__totalprecip_in	forecast__forecastday__day__avgvis_km	forecast__forecastday__day__avgvis_miles	forecast__forecastday__day__avghumidity	forecast__forecastday__day__condition__text	forecast__forecastday__day__condition__icon	forecast__forecastday__day__condition__code	forecast__forecastday__day__uv	forecast__forecastday__astro__sunrise	forecast__forecastday__astro__sunset	forecast__forecastday__astro__moonrise	forecast__forecastday__astro__moonset	forecast__forecastday__astro__moon_phase	forecast__forecastday__astro__moon_illumination	forecast__forecastday__hour__time_epoch	forecast__forecastday__hour__time	forecast__forecastday__hour__temp_c	forecast__forecastday__hour__temp_f	forecast__forecastday__hour__is_day	forecast__forecastday__hour__condition__text	forecast__forecastday__hour__condition__icon	forecast__forecastday__hour__condition__code	forecast__forecastday__hour__wind_mph	forecast__forecastday__hour__wind_kph	forecast__forecastday__hour__wind_degree	forecast__forecastday__hour__wind_dir	forecast__forecastday__hour__pressure_mb	forecast__forecastday__hour__pressure_in	forecast__forecastday__hour__precip_mm	forecast__forecastday__hour__precip_in	forecast__forecastday__hour__humidity	forecast__forecastday__hour__cloud	forecast__forecastday__hour__feelslike_c	forecast__forecastday__hour__feelslike_f	forecast__forecastday__hour__windchill_c	forecast__forecastday__hour__windchill_f	forecast__forecastday__hour__heatindex_c	forecast__forecastday__hour__heatindex_f	forecast__forecastday__hour__dewpoint_c	forecast__forecastday__hour__dewpoint_f	forecast__forecastday__hour__will_it_rain	forecast__forecastday__hour__chance_of_rain	forecast__forecastday__hour__will_it_snow	forecast__forecastday__hour__chance_of_snow	forecast__forecastday__hour__vis_km	forecast__forecastday__hour__vis_miles
Toronto	Ontario	Canada	43.67	-79.42	America/Toronto	1532889364	7/29/2018 14:36	7/22/2018	1532217600	21.2	70.2	17.2	63	20.2	68.4	15.7	25.2	27.7	1.09	14	8	78	Heavy rain	//cdn.apixu.com/weather/64x64/day/308.png	1195	0	5:57 AM	8:51 PM	4:40 PM	2:05 AM	Waxing Gibbous	55	1532232000	7/22/2018 0:00	21.9	71.4	0	Patchy light drizzle	//cdn.apixu.com/weather/64x64/night/263.png	1150	9.4	15.1	124	SE	1012	30.4	0.2	0.01	70	51	22.7	72.9	22.7	72.9	22.7	72.9	17	62.6	0	0	0	0	17.2	10
																																	1532235600	7/22/2018 1:00	21.4	70.6	0	Patchy light drizzle	//cdn.apixu.com/weather/64x64/night/263.png	1150	9.9	16	116	ESE	1012	30.4	0.3	0.01	70	55	22.2	72	22.2	72	22.2	72	16.8	62.2	0	50	0	0	16.7	10
																																	1532239200	7/22/2018 2:00	21	69.7	0	Light drizzle	//cdn.apixu.com/weather/64x64/night/266.png	1153	10.4	16.8	109	ESE	1012	30.4	0.4	0.02	71	59	21.8	71.2	21.8	71.2	21.8	71.2	16.5	61.8	0	51	0	0	16.3	10
																																	1532242800	7/22/2018 3:00	20.5	68.9	0	Light drizzle	//cdn.apixu.com/weather/64x64/night/266.png	1153	11	17.6	101	ESE	1012	30.4	0.5	0.02	72	64	21.3	70.3	21.3	70.3	21.3	70.3	16.3	61.3	0	0	0	0	15.8	9
																																	1532246400	7/22/2018 4:00	20.3	68.5	0	Light drizzle	//cdn.apixu.com/weather/64x64/night/266.png	1153	11	17.6	88	E	1011	30.3	0.8	0.03	73	71	21.1	70	21.1	70	21.1	70	16.3	61.3	0	51	0	0	14.8	9
																																	1532250000	7/22/2018 5:00	20.1	68.2	0	Moderate rain	//cdn.apixu.com/weather/64x64/night/302.png	1189	11	17.6	74	ENE	1011	30.3	1.1	0.04	74	78	20.9	69.6	20.9	69.6	20.9	69.6	16.3	61.3	0	63	0	0	13.7	8
																																	1532253600	7/22/2018 6:00	19.9	67.8	1	Moderate rain	//cdn.apixu.com/weather/64x64/day/302.png	1189	11	17.6	61	ENE	1011	30.3	1.4	0.06	76	85	20.7	69.3	20.7	69.3	20.7	69.3	16.3	61.3	0	0	0	0	12.7	7
																																	1532257200	7/22/2018 7:00	19.9	67.8	1	Moderate rain	//cdn.apixu.com/weather/64x64/day/302.png	1189	10.8	17.4	55	NE	1010	30.3	2.9	0.11	77	90	20.7	69.3	20.7	69.3	20.7	69.3	16.8	62.2	0	63	0	0	11.9	7
																																	1532260800	7/22/2018 8:00	19.9	67.8	1	Heavy rain	//cdn.apixu.com/weather/64x64/day/308.png	1195	10.7	17.2	50	NE	1010	30.3	4.4	0.17	79	95	20.7	69.3	20.7	69.3	20.7	69.3	17.2	63	0	65	0	0	11.1	6
																																	1532264400	7/22/2018 9:00	19.9	67.8	1	Heavy rain	//cdn.apixu.com/weather/64x64/day/308.png	1195	10.5	16.9	44	NE	1009	30.3	5.9	0.23	81	100	20.7	69.3	20.7	69.3	20.7	69.3	17.7	63.9	0	0	0	0	10.3	6
																																	1532268000	7/22/2018 10:00	19.4	67	1	Heavy rain	//cdn.apixu.com/weather/64x64/day/308.png	1195	11.9	19.1	59	ENE	1009	30.3	7.8	0.31	80	100	20.2	68.4	20.2	68.4	20.2	68.4	16.9	62.4	0	65	0	0	10.2	6
																																	1532271600	7/22/2018 11:00	19	66.1	1	Heavy rain	//cdn.apixu.com/weather/64x64/day/308.png	1195	13.2	21.2	74	ENE	1008	30.2	9.7	0.38	80	100	19.8	67.6	19.8	67.6	19.8	67.6	16.1	61	0	65	0	0	10.2	6
																																	1532275200	7/22/2018 12:00	18.5	65.3	1	Heavy rain	//cdn.apixu.com/weather/64x64/day/308.png	1195	14.5	23.4	88	E	1008	30.2	11.6	0.46	80	100	19.3	66.7	19.3	66.7	19.3	66.7	15.3	59.5	0	0	0	0	10.1	6
																																	1532278800	7/22/2018 13:00	19.4	66.9	1	Heavy rain	//cdn.apixu.com/weather/64x64/day/308.png	1195	14.4	23.2	113	ESE	1008	30.2	10.37	0.41	79	94	20.2	68.4	20.2	68.4	20.2	68.4	15.9	60.6	0	65	0	0	11	6
																																	1532282400	7/22/2018 14:00	20.3	68.5	1	Partly cloudy	//cdn.apixu.com/weather/64x64/day/116.png	1003	14.2	22.9	138	SE	1008	30.3	9.13	0.36	78	89	21.1	70	21.1	70	21.1	70	16.4	61.6	0	1	0	0	12	7
																																	1532286000	7/22/2018 15:00	21.2	70.2	1	Partly cloudy	//cdn.apixu.com/weather/64x64/day/116.png	1003	14.1	22.7	162	SSE	1009	30.3	7.9	0.31	77	83	22	71.6	22	71.6	22	71.6	17	62.6	0	0	0	0	12.9	8
																																	1532289600	7/22/2018 16:00	21.1	70	1	Partly cloudy	//cdn.apixu.com/weather/64x64/day/116.png	1003	12.5	20.2	164	SSE	1009	30.3	5.27	0.21	80	72	21.9	71.4	21.9	71.4	21.9	71.4	17.6	63.6	0	1	0	0	14	8
																																	1532293200	7/22/2018 17:00	21	69.8	1	Partly cloudy	//cdn.apixu.com/weather/64x64/day/116.png	1003	11	17.6	166	SSE	1009	30.3	2.63	0.1	83	60	21.8	71.2	21.8	71.2	21.8	71.2	18.1	64.6	0	1	0	0	15.1	9
																																	1532296800	7/22/2018 18:00	20.9	69.6	1	Partly cloudy	//cdn.apixu.com/weather/64x64/day/116.png	1003	9.4	15.1	169	S	1009	30.3	0	0	86	48	21.7	71.1	21.7	71.1	21.7	71.1	18.7	65.7	0	0	0	0	16.2	10
																																	1532300400	7/22/2018 19:00	20.7	69.2	1	Partly cloudy	//cdn.apixu.com/weather/64x64/day/116.png	1003	8.6	13.8	161	SSE	1009	30.3	0	0	84	48	21.5	70.6	21.5	70.6	21.5	70.6	18.2	64.8	0	1	0	0	16.4	10
																																	1532304000	7/22/2018 20:00	20.4	68.8	1	Cloudy	//cdn.apixu.com/weather/64x64/day/119.png	1006	7.8	12.5	153	SSE	1010	30.3	0	0	83	48	21.2	70.2	21.2	70.2	21.2	70.2	17.8	64	0	2	0	0	16.7	10
																																	1532307600	7/22/2018 21:00	20.2	68.4	0	Cloudy	//cdn.apixu.com/weather/64x64/night/119.png	1006	6.9	11.2	145	SE	1011	30.3	0	0	81	48	21	69.8	21	69.8	21	69.8	17.3	63.1	0	0	0	0	16.9	10
																																	1532311200	7/22/2018 22:00	20.2	68.4	0	Cloudy	//cdn.apixu.com/weather/64x64/night/119.png	1006	8.1	13	132	SE	1011	30.3	0	0	79	50	21	69.8	21	69.8	21	69.8	17	62.5	0	2	0	0	17.1	10
																																	1532314800	7/22/2018 23:00	20.2	68.4	0	Partly cloudy	//cdn.apixu.com/weather/64x64/night/116.png	1003	9.2	14.8	119	ESE	1012	30.4	0	0	78	51	21	69.8	21	69.8	21	69.8	16.6	61.9	0	1	0	0	17.4	10
																																			20.30416667										1010				77.95833333															
