Date,Pressure,Humidity,T2,Temperature,Power Demand
7/22/2018,1010,78,20.3,293.3,4476.666
7/23/2018,1013.958,79.041,22.45,295.45,4537.706786
7/24/2018,1016.15,79.083,23.4,296.4,4510.569686
7/25/2018,1014.833,74.833,23.0625,296.0625,4486.510419
7/26/2018,1011.167,69.333,23.0958,296.0958,4493.248419
7/27/2018,1013.042,59.91,21.9803,294.9803,4610.058286
7/28/2018,1016,61.0416,21.033,294.033,4610.985286
7/29/2018,1028,68,21.033,294.033,4610.985286
7/30/2018,1010,69,21.1,294.25,4637.473286
7/31/2018,1011,76,21.5,294.65,4592.227286
8/1/2018,1006,77,21.6,294.75,4659.261286
8/2/2018,1003,71,22,295.15,4616.411786
8/3/2018,1000,70,22,295.15,4616.411786
